id,age,gender,game_hours_per_day,game_days_per_week,game_type,game_genre,game_friends_activity,game_importance,game_addiction,game_favorite,happiness_general,happiness_personal,happiness_work,happiness_joy,happiness_stress
1855465575,19,M,3,1,Single,Adventure,3,True,False,The Last Of Us,7,3,8,4,2
1856114803,20,M,4,6,Multiplayer,Action,4,True,True,Deadlock,7,7,4,5,3
1856117571,19,M,0,1,Multiplayer,Action,3,True,False,Valorant,7,4,7,4,3
1856208774,20,M,1,2,Multiplayer,Role-Play,4,True,False,Dota 2,7,10,3,4,2
1856316803,20,M,0,0,Single,Adventure,0,False,False,The Witcher 3,8,9,7,4,1
1856323161,19,M,3,7,Multiplayer,MOBA,2,False,False,Minecraft,7,10,8,5,5
1856334638,20,M,3,4,Multiplayer,Action,3,True,True,Counter Strike 2,7,2,5,4,1
1856325289,21,F,5,7,Single,Adventure,1,True,True,Stardew Valley ,10,7,10,5,3
1856329943,19,M,3,4,Multiplayer,MOBA,4,True,True,Dota 2,6,6,6,3,3
1856330630,19,M,2,7,Single,Adventure,1,True,False,Genshin Impact,8,9,8,3,3
1856331876,20,M,3,3,Multiplayer,Action,2,True,False,Enderal,8,1,6,5,4
1856338180,20,M,3,6,Single,Strategy,3,True,True,GTA 4,6,2,4,4,1
1856341158,20,M,1,1,Single,Strategy,1,False,False,Pathalogic 2,5,8,7,3,5
1856342228,21,M,12,7,Multiplayer,MOBA,3,True,True,Dota 2,10,2,6,5,1
1856343554,21,F,2,4,Single,Adventure,1,True,True,The Witcher 3,8,9,4,3,4
1856343886,20,F,24,7,Single,Puzzles,4,False,False,Solitaire,10,1,1,1,1
1856346441,20,M,5,4,Multiplayer,MOBA,3,True,True,Prototype 2,8,9,7,4,4
1856484736,21,M,6,7,Multiplayer,MOBA,2,True,True,Dota 2,8,3,5,5,1
1856772760,21,M,7,7,Multiplayer,Strategy,2,True,True,World Of Warcraft,7,6,6,4,3
1856907712,20,F,4,6,Multiplayer,Strategy,2,True,False,Diablo 2,10,5,8,4,2
1857034677,20,M,8,6,Multiplayer,Strategy,1,True,True,Dota 2,5,1,1,3,5
